"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","4,320","3,679","183","3,862","458","89.40%"
"25 - 29","3,520","2,746","144","2,890","630","82.10%"
"30 - 34","3,480","3,070","126","3,196","284","91.84%"
"35 - 39","3,660","3,376","108","3,484","176","95.19%"
"40 - 44","4,340","4,023","106","4,129","211","95.14%"
"45 - 49","4,750","4,535","113","4,648","102","97.85%"
"50 - 54","5,070","4,858","118","4,976","94","98.15%"
"55 - 59","5,410","5,331","95","5,426","-16","100.30%"
"60 - 64","5,110","5,126","72","5,198","-88","101.72%"
"65 - 69","5,080","5,073","58","5,131","-51","101.00%"
"70+","10,400","10,260","68","10,328","72","99.31%"
"Total","55,140","52,077","1,191","53,268","1,872","96.61%"
