"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","15,250","9,965","403","10,368","4,882","67.99%"
"25 - 29","9,700","6,765","218","6,983","2,717","71.99%"
"30 - 34","6,730","5,199","175","5,374","1,356","79.85%"
"35 - 39","4,960","4,538","144","4,682","278","94.40%"
"40 - 44","4,120","3,995","129","4,124","-4","100.10%"
"45 - 49","3,940","4,037","136","4,173","-233","105.91%"
"50 - 54","3,690","3,783","109","3,892","-202","105.47%"
"55 - 59","3,350","3,321","99","3,420","-70","102.09%"
"60 - 64","2,790","2,724","69","2,793","-3","100.11%"
"65 - 69","2,340","2,163","42","2,205","135","94.23%"
"70+","3,880","3,856","28","3,884","-4","100.10%"
"Total","60,750","50,346","1,552","51,898","8,852","85.43%"
