"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","4,120","3,017","223","3,240","880","78.64%"
"25 - 29","3,080","2,529","188","2,717","363","88.21%"
"30 - 34","3,140","2,579","146","2,725","415","86.78%"
"35 - 39","3,250","2,813","148","2,961","289","91.11%"
"40 - 44","4,010","3,462","168","3,630","380","90.52%"
"45 - 49","4,830","4,418","196","4,614","216","95.53%"
"50 - 54","5,070","4,636","204","4,840","230","95.46%"
"55 - 59","5,480","5,190","188","5,378","102","98.14%"
"60 - 64","5,040","4,886","125","5,011","29","99.42%"
"65 - 69","4,630","4,492","96","4,588","42","99.09%"
"70+","8,460","8,003","143","8,146","314","96.29%"
"Total","51,110","46,025","1,825","47,850","3,260","93.62%"
