"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","6,500","3,810","1,233","5,043","1,457","77.58%"
"25 - 29","4,590","3,100","1,000","4,100","490","89.32%"
"30 - 34","4,180","3,384","849","4,233","-53","101.27%"
"35 - 39","3,960","3,223","755","3,978","-18","100.45%"
"40 - 44","4,780","3,530","786","4,316","464","90.29%"
"45 - 49","5,630","4,461","831","5,292","338","94.00%"
"50 - 54","5,690","4,655","815","5,470","220","96.13%"
"55 - 59","5,850","5,046","703","5,749","101","98.27%"
"60 - 64","5,340","4,833","499","5,332","8","99.85%"
"65 - 69","4,980","4,659","351","5,010","-30","100.60%"
"70+","11,400","10,760","487","11,247","153","98.66%"
"Total","62,900","51,461","8,309","59,770","3,130","95.02%"
