"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","8,970","4,644","387","5,031","3,939","56.09%"
"25 - 29","6,650","4,385","252","4,637","2,013","69.73%"
"30 - 34","5,840","4,204","232","4,436","1,404","75.96%"
"35 - 39","4,590","3,811","176","3,987","603","86.86%"
"40 - 44","4,040","3,344","163","3,507","533","86.81%"
"45 - 49","4,040","3,413","165","3,578","462","88.56%"
"50 - 54","3,700","3,249","165","3,414","286","92.27%"
"55 - 59","3,630","3,397","129","3,526","104","97.13%"
"60 - 64","3,300","3,094","91","3,185","115","96.52%"
"65 - 69","2,770","2,649","62","2,711","59","97.87%"
"70+","6,550","6,229","92","6,321","229","96.50%"
"Total","54,080","42,419","1,914","44,333","9,747","81.98%"
