"Popolazione per età, vista per territorio - Tutte le regioni"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° Gennaio per età"
"Tutte le cittadinanze - Anno: 2002"
Territorio/Età;;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
Codice regione;Regione;Totale
1;Piemonte;34250;35214;34395;34005;33574;33346;33155;33013;33394;34151;34613;34870;33713;34249;32564;33718;35028;35038;36564;38548;38965;40304;42007;45796;49021;52301;57073;59956;61102;63215;64979;64368;67282;66248;66394;69144;69040;70118;65948;63646;63309;61508;60240;58789;58829;58464;57843;57161;55989;56874;56511;59576;60173;64124;62859;61851;48208;52127;52240;53639;54937;60751;61042;60106;55129;52842;53944;51832;50321;50481;50331;51543;47037;45319;43097;40784;39053;36592;35561;34279;31615;28858;17336;12667;12432;14331;17195;15109;13790;12064;9460;7742;5831;4461;3064;2259;1549;1039;641;458;585
2;Valle D'Aosta;1118;1137;1111;1066;986;1078;999;994;952;1018;1010;1036;956;1015;962;994;977;975;1033;1028;984;1178;1136;1438;1375;1519;1696;1711;1824;1895;1986;2001;2098;2018;2033;2133;2114;2236;2047;1897;1924;1775;1827;1689;1679;1646;1669;1685;1655;1557;1636;1694;1697;1797;1676;1614;1305;1412;1465;1545;1530;1622;1565;1565;1412;1333;1325;1269;1291;1289;1307;1323;1191;1192;1122;1104;963;923;919;911;849;767;458;378;342;374;442;405;336;281;218;167;139;80;72;63;46;28;17;11;13
3;Lombardia;83501;83892;82716;80529;79422;79180;77500;76695;77794;79057;79410;79860;78218;78416;74960;76042;79340;80347;83664;86828;89110;91978;96211;104242;111887;120327;132643;138857;142097;145765;148500;149313;155604;154409;155977;162131;161686;161350;152045;145126;141809;137368;133563;127814;125932;125231;122809;121130;118559;119419;119637;126002;127731;132890;129852;134920;100971;108825;108264;111474;115384;126344;124496;120151;109425;102633;105433;100669;96915;95937;94022;94258;86290;82371;79206;74351;71288;67979;65224;59650;56628;51646;31342;21959;21485;25310;29227;26933;23666;20061;16561;13037;9650;7331;4974;3537;2466;1669;1048;708;931
4;Trentino Alto Adige;10238;10476;10532;10340;10406;10314;10019;9987;9801;10222;9992;10013;9677;9662;9376;9391;9584;9501;9877;10156;10170;10246;10383;11035;11321;12024;13041;13925;14272;14639;15544;15222;16095;16032;16088;16669;17001;16930;16086;15190;15282;14582;14119;13301;13170;12772;12348;12016;11819;11715;11564;12145;11445;12025;11836;12806;9214;10588;11323;11361;11553;11085;10736;10231;9344;8977;8929;8821;8641;8556;8514;8904;8099;7973;7794;7509;7291;7161;7145;6645;6188;5501;3609;2072;1841;1722;2507;2900;2698;2378;1870;1513;1252;881;604;458;266;202;137;82;122
5;Veneto;41843;43080;42497;41815;41032;40911;39713;39282;39905;41022;40830;41223;39854;40148;37509;38843;41126;41009;42037;43853;45169;46655;49238;53498;56940;60909;65272;70960;71734;73538;75318;75911;78400;77324;77942;80776;81339;81796;77242;74609;73275;69354;68813;64740;63476;63323;61220;60610;59275;59208;58580;61510;61005;63087;62059;67804;46684;54681;56333;54870;55098;58367;57333;55886;51048;48478;49512;47978;45227;44863;44428;45352;41487;41511;41381;39008;37956;35615;34943;32196;29928;28203;17065;11601;11368;13213;15532;14380;12877;10947;9100;7093;5219;4047;2805;2056;1378;960;577;440;543
6;Friuli Venezia Giulia;9547;9550;9291;9162;8804;9097;8752;8614;8738;9364;9201;9137;9079;8964;8326;8726;9149;9413;9478;9956;10330;11014;11839;13251;13590;14988;16000;17579;17759;18518;18615;18762;19150;18794;19070;19531;19810;20187;19219;18239;17955;17240;17134;16062;15785;15872;15544;15562;15511;15551;15573;16766;16649;17919;18022;19230;13353;16038;15961;16255;16650;17744;17117;16416;15053;14035;13929;13303;12957;12819;12704;13144;12044;11814;11955;11907;11460;11304;11253;10605;10631;10125;5947;3551;3676;3854;4858;4962;4407;3860;3207;2654;2041;1392;1135;792;564;375;243;148;227
7;Liguria;11059;11008;10892;10818;10776;10987;10744;10858;11076;11664;11601;11507;11215;11304;10931;10804;11313;11265;11644;11807;12318;12181;13104;14282;15542;16655;18515;19951;20691;21889;22375;22313;23253;23154;23316;24747;25332;25529;24275;23439;22883;22145;22038;21124;20869;20656;20220;20389;19806;19509;19678;21217;21546;23092;23994;24581;18088;20696;20477;21127;22183;24232;24172;24124;22303;21454;21770;21164;21148;21380;21403;22288;20852;20057;19049;18453;17934;16988;16733;16147;15445;14190;8660;6932;6658;7503;8034;7778;6643;5618;4530;3750;2873;2139;1450;1134;814;594;359;272;308
8;Emilia Romagna;34022;34004;32673;31571;31307;30874;30213;30079;30177;30899;31336;31170;30132;29492;28423;28977;30264;30453;31576;32801;33941;35692;38735;42520;45699;50288;54904;59343;60640;62635;64478;64197;65677;65399;65218;67551;67095;68299;64421;62703;61747;59911;58456;55861;55763;55610;53626;52857;50881;50992;50845;53921;54680;58142;58282;60018;43182;48447;48759;48500;50165;54989;54618;55168;50377;47182;50237;49557;47177;45436;46418;47529;44174;43662;43063;41138;41672;39077;38519;36587;35158;33164;20359;14305;13190;16110;18473;16934;14971;13079;10569;8448;6101;4585;3353;2268;1648;1094;649;467;592
9;Toscana;27862;27811;27258;26975;26698;26469;26307;26198;26640;27828;27920;28665;27684;28206;26750;27342;28866;28682;29992;30877;31943;33098;35465;38331;40382;43672;47306;50041;51624;52801;53845;53086;54870;54029;54728;56807;57161;57847;54284;52585;52102;50731;49719;47690;47001;47018;46212;46186;44449;44733;44814;46784;49045;52796;52738;53804;42466;42580;43536;42298;44083;49759;48625;49076;44726;42190;43501;41362;40766;39615;41524;42587;39082;38911;38220;36477;36371;34893;34069;32435;32257;29941;17780;12132;11216;13185;15611;14748;12549;11235;8662;7358;5212;4028;2717;2051;1396;962;599;445;504
