Popolazione residente al 1 Gennaio 2006 per età sesso e stato civile
Regione,Eta',Celibi,Coniugati,Divorziati,Vedovi,Totale Maschi,Nubili,Coniugate,Divorziate,Vedove,Totale Femmine
Piemonte                           ,    0,   18961,0,0,0,18961,17868,0,0,0,17868
Piemonte                           ,    1,   19080,0,0,0,19080,17931,0,0,0,17931
Piemonte                           ,    2,   19073,0,0,0,19073,18068,0,0,0,18068
Piemonte                           ,    3,   18581,0,0,0,18581,17860,0,0,0,17860
Piemonte                           ,    4,   18494,0,0,0,18494,17592,0,0,0,17592
Piemonte                           ,    5,   19078,0,0,0,19078,17997,0,0,0,17997
Piemonte                           ,    6,   18712,0,0,0,18712,17289,0,0,0,17289
Piemonte                           ,    7,   18422,0,0,0,18422,17381,0,0,0,17381
Piemonte                           ,    8,   18160,0,0,0,18160,17377,0,0,0,17377
Piemonte                           ,    9,   17990,0,0,0,17990,17011,0,0,0,17011
Piemonte                           ,   10,   17920,0,0,0,17920,16771,0,0,0,16771
Piemonte                           ,   11,   17824,0,0,0,17824,16960,0,0,0,16960
Piemonte                           ,   12,   17949,0,0,0,17949,17126,0,0,0,17126
Piemonte                           ,   13,   18361,0,0,0,18361,17403,0,0,0,17403
Piemonte                           ,   14,   18384,0,0,0,18384,17476,0,0,0,17476
Piemonte                           ,   15,   18694,0,0,0,18694,17498,0,0,0,17498
Piemonte                           ,   16,   18225,0,0,0,18225,16915,13,0,0,16928
Piemonte                           ,   17,   18717,2,0,0,18719,17260,21,0,0,17281
Piemonte                           ,   18,   17981,0,0,1,17982,16773,136,0,0,16909
Piemonte                           ,   19,   18488,17,1,0,18506,16924,339,3,0,17266
Piemonte                           ,   20,   18695,65,0,0,18760,17345,658,3,1,18007
Piemonte                           ,   21,   18904,148,2,1,19055,17199,1108,3,4,18314
Piemonte                           ,   22,   19801,286,4,1,20092,17432,1683,6,2,19123
Piemonte                           ,   23,   20684,562,0,0,21246,17938,2501,12,6,20457
Piemonte                           ,   24,   20531,985,2,0,21518,17266,3498,23,12,20799
Piemonte                           ,   25,   20654,1613,5,2,22274,16808,4898,41,11,21758
Piemonte                           ,   26,   21210,2549,8,0,23767,16204,6479,48,10,22741
Piemonte                           ,   27,   22089,3986,15,3,26093,16256,8693,83,32,25064
Piemonte                           ,   28,   22111,5515,33,3,27662,15926,10916,135,26,27003
Piemonte                           ,   29,   21728,7676,48,2,29454,14918,13421,185,46,28570
Piemonte                           ,   30,   21624,9940,62,6,31632,14563,15804,291,45,30703
Piemonte                           ,   31,   20784,12516,127,11,33438,13573,18163,355,75,32166
Piemonte                           ,   32,   19797,14227,151,17,34192,12325,19244,451,82,32102
Piemonte                           ,   33,   17979,16592,241,18,34830,11196,21119,667,117,33099
Piemonte                           ,   34,   16832,18282,333,15,35462,10093,23156,795,125,34169
Piemonte                           ,   35,   15238,19519,420,24,35201,9081,23700,968,179,33928
Piemonte                           ,   36,   14197,21809,560,35,36601,8429,25319,1172,181,35101
Piemonte                           ,   37,   12767,22928,680,42,36417,7404,25860,1259,218,34741
Piemonte                           ,   38,   11786,23792,792,46,36416,6983,26326,1380,271,34960
Piemonte                           ,   39,   11150,24864,971,62,37047,6569,27391,1528,301,35789
Piemonte                           ,   40,    9985,25624,1042,82,36733,6051,27740,1691,412,35894
Piemonte                           ,   41,    9145,26788,1288,91,37312,5678,28607,1798,435,36518
Piemonte                           ,   42,    7896,25713,1281,99,34989,4863,26928,1836,457,34084
Piemonte                           ,   43,    7015,25000,1273,133,33421,4406,26326,1800,573,33105
Piemonte                           ,   44,    6506,25136,1279,111,33032,3991,26132,1851,610,32584
Piemonte                           ,   45,    5818,24641,1375,125,31959,3550,25669,1853,714,31786
Piemonte                           ,   46,    5553,24560,1395,165,31673,3333,25061,1783,753,30930
Piemonte                           ,   47,    5012,24073,1343,202,30630,2884,24596,1885,807,30172
Piemonte                           ,   48,    4827,24177,1477,220,30701,2808,24951,1827,916,30502
Piemonte                           ,   49,    4289,24083,1390,220,29982,2606,24617,1833,1037,30093
Piemonte                           ,   50,    4098,24026,1335,260,29719,2469,24217,1800,1144,29630
Piemonte                           ,   51,    3844,23523,1376,311,29054,2230,24226,1698,1355,29509
Piemonte                           ,   52,    3533,23212,1282,308,28335,2076,23528,1604,1395,28603
Piemonte                           ,   53,    3398,23692,1252,312,28654,2095,23424,1597,1596,28712
Piemonte                           ,   54,    3212,23174,1178,390,27954,1859,23708,1458,1777,28802
Piemonte                           ,   55,    3201,24506,1209,456,29372,1893,24824,1514,2084,30315
Piemonte                           ,   56,    3068,25114,1152,494,29828,1824,24937,1404,2402,30567
Piemonte                           ,   57,    3150,26478,1238,608,31474,1905,26436,1470,2866,32677
Piemonte                           ,   58,    2872,26501,1161,675,31209,1793,25656,1391,3086,31926
Piemonte                           ,   59,    2736,25894,1140,745,30515,1695,24982,1342,3351,31370
Piemonte                           ,   60,    2096,19814,803,641,23354,1325,18995,918,2987,24225
Piemonte                           ,   61,    2231,21318,778,812,25139,1479,20508,979,3431,26397
Piemonte                           ,   62,    2241,20976,696,877,24790,1483,20365,929,3868,26645
Piemonte                           ,   63,    2274,21411,701,945,25331,1550,20257,960,4385,27152
Piemonte                           ,   64,    2358,21578,690,1005,25631,1663,20379,868,4962,27872
