Tipo dato,Misura,Ordine scolastico,Territorio,Seleziona periodo,Gestione della scuola,0,Flags
"numero di scuole","valori assoluti","secondaria I grado","Italia","2009","totale",7921,
"numero di scuole","valori assoluti","secondaria I grado","Italia","2010","totale",7924,
"numero di scuole","valori assoluti","secondaria I grado","Italia","2011","totale",7937,
"numero di scuole","valori assoluti","secondaria I grado","Italia","2012","totale",7931,
"numero di scuole","valori assoluti","secondaria I grado","Italia","2013","totale",8150,
"numero di scuole","valori assoluti","secondaria I grado","Italia","2014","totale",8045,
"numero di classi","valori assoluti","secondaria I grado","Italia","2009","totale",82751,
"numero di classi","valori assoluti","secondaria I grado","Italia","2010","totale",82682,
"numero di classi","valori assoluti","secondaria I grado","Italia","2011","totale",82654,
"numero di classi","valori assoluti","secondaria I grado","Italia","2012","totale",82687,
"numero di classi","valori assoluti","secondaria I grado","Italia","2013","totale",82565,
"numero di classi","valori assoluti","secondaria I grado","Italia","2014","totale",81443,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Italia","2009","totale",1758384,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Italia","2010","totale",1777834,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Italia","2011","totale",1787467,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Italia","2012","totale",1792379,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Italia","2013","totale",1779758,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Italia","2014","totale",1743587,
"iscritti - femmine","valori assoluti","secondaria I grado","Italia","2009","totale",842052,
"iscritti - femmine","valori assoluti","secondaria I grado","Italia","2010","totale",851266,
"iscritti - femmine","valori assoluti","secondaria I grado","Italia","2011","totale",855826,
"iscritti - femmine","valori assoluti","secondaria I grado","Italia","2012","totale",857727,
"iscritti - femmine","valori assoluti","secondaria I grado","Italia","2013","totale",853364,
"iscritti - femmine","valori assoluti","secondaria I grado","Italia","2014","totale",836480,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Italia","2009","totale",60616,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Italia","2010","totale",78725,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Italia","2011","totale",76353,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Italia","2012","totale",69685,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Italia","2013","totale",63287,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Italia","2014","totale",59816,
"ripetenti - femmine","valori assoluti","secondaria I grado","Italia","2009","totale",19490,
"ripetenti - femmine","valori assoluti","secondaria I grado","Italia","2010","totale",25867,
"ripetenti - femmine","valori assoluti","secondaria I grado","Italia","2011","totale",25601,
"ripetenti - femmine","valori assoluti","secondaria I grado","Italia","2012","totale",23006,
"ripetenti - femmine","valori assoluti","secondaria I grado","Italia","2013","totale",20568,
"ripetenti - femmine","valori assoluti","secondaria I grado","Italia","2014","totale",20683,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Italia","2009","totale",140050,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Italia","2010","totale",150279,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Italia","2011","totale",157559,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Italia","2012","totale",166043,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Italia","2013","totale",170792,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Italia","2014","totale",168214,
"stranieri - femmine","valori assoluti","secondaria I grado","Italia","2009","totale",63767,
"stranieri - femmine","valori assoluti","secondaria I grado","Italia","2010","totale",68483,
"stranieri - femmine","valori assoluti","secondaria I grado","Italia","2011","totale",72070,
"stranieri - femmine","valori assoluti","secondaria I grado","Italia","2012","totale",76078,
"stranieri - femmine","valori assoluti","secondaria I grado","Italia","2013","totale",79336,
"stranieri - femmine","valori assoluti","secondaria I grado","Italia","2014","totale",78309,
"numero di scuole","valori assoluti","secondaria I grado","Nord-ovest","2009","totale",1964,
"numero di scuole","valori assoluti","secondaria I grado","Nord-ovest","2010","totale",1981,
"numero di scuole","valori assoluti","secondaria I grado","Nord-ovest","2011","totale",1995,
"numero di scuole","valori assoluti","secondaria I grado","Nord-ovest","2012","totale",2002,
"numero di scuole","valori assoluti","secondaria I grado","Nord-ovest","2013","totale",2046,
"numero di scuole","valori assoluti","secondaria I grado","Nord-ovest","2014","totale",2074,
"numero di classi","valori assoluti","secondaria I grado","Nord-ovest","2009","totale",19515,
"numero di classi","valori assoluti","secondaria I grado","Nord-ovest","2010","totale",19769,
"numero di classi","valori assoluti","secondaria I grado","Nord-ovest","2011","totale",20013,
"numero di classi","valori assoluti","secondaria I grado","Nord-ovest","2012","totale",20161,
"numero di classi","valori assoluti","secondaria I grado","Nord-ovest","2013","totale",20252,
"numero di classi","valori assoluti","secondaria I grado","Nord-ovest","2014","totale",20277,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Nord-ovest","2009","totale",423516,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Nord-ovest","2010","totale",433420,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Nord-ovest","2011","totale",439900,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Nord-ovest","2012","totale",445203,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Nord-ovest","2013","totale",446015,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Nord-ovest","2014","totale",443908,
"iscritti - femmine","valori assoluti","secondaria I grado","Nord-ovest","2009","totale",202542,
"iscritti - femmine","valori assoluti","secondaria I grado","Nord-ovest","2010","totale",206966,
"iscritti - femmine","valori assoluti","secondaria I grado","Nord-ovest","2011","totale",210015,
"iscritti - femmine","valori assoluti","secondaria I grado","Nord-ovest","2012","totale",212487,
"iscritti - femmine","valori assoluti","secondaria I grado","Nord-ovest","2013","totale",213354,
"iscritti - femmine","valori assoluti","secondaria I grado","Nord-ovest","2014","totale",212851,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Nord-ovest","2009","totale",14301,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Nord-ovest","2010","totale",18741,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Nord-ovest","2011","totale",17929,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Nord-ovest","2012","totale",17792,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Nord-ovest","2013","totale",15824,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Nord-ovest","2014","totale",14576,
"ripetenti - femmine","valori assoluti","secondaria I grado","Nord-ovest","2009","totale",4567,
"ripetenti - femmine","valori assoluti","secondaria I grado","Nord-ovest","2010","totale",6057,
"ripetenti - femmine","valori assoluti","secondaria I grado","Nord-ovest","2011","totale",6053,
"ripetenti - femmine","valori assoluti","secondaria I grado","Nord-ovest","2012","totale",5886,
"ripetenti - femmine","valori assoluti","secondaria I grado","Nord-ovest","2013","totale",4993,
"ripetenti - femmine","valori assoluti","secondaria I grado","Nord-ovest","2014","totale",4913,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Nord-ovest","2009","totale",51004,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Nord-ovest","2010","totale",54807,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Nord-ovest","2011","totale",58039,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Nord-ovest","2012","totale",61335,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Nord-ovest","2013","totale",62855,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Nord-ovest","2014","totale",62440,
"stranieri - femmine","valori assoluti","secondaria I grado","Nord-ovest","2009","totale",23491,
"stranieri - femmine","valori assoluti","secondaria I grado","Nord-ovest","2010","totale",25034,
"stranieri - femmine","valori assoluti","secondaria I grado","Nord-ovest","2011","totale",26541,
"stranieri - femmine","valori assoluti","secondaria I grado","Nord-ovest","2012","totale",28077,
"stranieri - femmine","valori assoluti","secondaria I grado","Nord-ovest","2013","totale",29121,
"stranieri - femmine","valori assoluti","secondaria I grado","Nord-ovest","2014","totale",29012,
"numero di scuole","valori assoluti","secondaria I grado","Piemonte","2009","totale",538,
"numero di scuole","valori assoluti","secondaria I grado","Piemonte","2010","totale",539,
"numero di scuole","valori assoluti","secondaria I grado","Piemonte","2011","totale",538,
"numero di scuole","valori assoluti","secondaria I grado","Piemonte","2012","totale",544,
"numero di scuole","valori assoluti","secondaria I grado","Piemonte","2013","totale",558,
"numero di scuole","valori assoluti","secondaria I grado","Piemonte","2014","totale",561,
"numero di classi","valori assoluti","secondaria I grado","Piemonte","2009","totale",5377,
"numero di classi","valori assoluti","secondaria I grado","Piemonte","2010","totale",5432,
"numero di classi","valori assoluti","secondaria I grado","Piemonte","2011","totale",5495,
"numero di classi","valori assoluti","secondaria I grado","Piemonte","2012","totale",5520,
"numero di classi","valori assoluti","secondaria I grado","Piemonte","2013","totale",5570,
"numero di classi","valori assoluti","secondaria I grado","Piemonte","2014","totale",5576,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Piemonte","2009","totale",115297,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Piemonte","2010","totale",117067,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Piemonte","2011","totale",118455,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Piemonte","2012","totale",119785,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Piemonte","2013","totale",119104,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Piemonte","2014","totale",117997,
"iscritti - femmine","valori assoluti","secondaria I grado","Piemonte","2009","totale",55230,
"iscritti - femmine","valori assoluti","secondaria I grado","Piemonte","2010","totale",56226,
"iscritti - femmine","valori assoluti","secondaria I grado","Piemonte","2011","totale",56761,
"iscritti - femmine","valori assoluti","secondaria I grado","Piemonte","2012","totale",57263,
"iscritti - femmine","valori assoluti","secondaria I grado","Piemonte","2013","totale",56910,
"iscritti - femmine","valori assoluti","secondaria I grado","Piemonte","2014","totale",56663,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Piemonte","2009","totale",4412,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Piemonte","2010","totale",5582,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Piemonte","2011","totale",5425,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Piemonte","2012","totale",5455,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Piemonte","2013","totale",5160,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Piemonte","2014","totale",4437,
"ripetenti - femmine","valori assoluti","secondaria I grado","Piemonte","2009","totale",1465,
"ripetenti - femmine","valori assoluti","secondaria I grado","Piemonte","2010","totale",1857,
"ripetenti - femmine","valori assoluti","secondaria I grado","Piemonte","2011","totale",1819,
"ripetenti - femmine","valori assoluti","secondaria I grado","Piemonte","2012","totale",1820,
"ripetenti - femmine","valori assoluti","secondaria I grado","Piemonte","2013","totale",1643,
"ripetenti - femmine","valori assoluti","secondaria I grado","Piemonte","2014","totale",1481,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Piemonte","2009","totale",13491,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Piemonte","2010","totale",14121,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Piemonte","2011","totale",14760,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Piemonte","2012","totale",15318,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Piemonte","2013","totale",15656,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Piemonte","2014","totale",15365,
"stranieri - femmine","valori assoluti","secondaria I grado","Piemonte","2009","totale",6312,
"stranieri - femmine","valori assoluti","secondaria I grado","Piemonte","2010","totale",6673,
"stranieri - femmine","valori assoluti","secondaria I grado","Piemonte","2011","totale",6951,
"stranieri - femmine","valori assoluti","secondaria I grado","Piemonte","2012","totale",7177,
"stranieri - femmine","valori assoluti","secondaria I grado","Piemonte","2013","totale",7316,
"stranieri - femmine","valori assoluti","secondaria I grado","Piemonte","2014","totale",7179,
"numero di scuole","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2009","totale",21,
"numero di scuole","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2010","totale",21,
"numero di scuole","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2011","totale",21,
"numero di scuole","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2012","totale",21,
"numero di scuole","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2013","totale",21,
"numero di scuole","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2014","totale",21,
"numero di classi","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2009","totale",166,
"numero di classi","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2010","totale",169,
"numero di classi","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2011","totale",177,
"numero di classi","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2012","totale",185,
"numero di classi","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2013","totale",184,
"numero di classi","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2014","totale",180,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2009","totale",3424,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2010","totale",3517,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2011","totale",3603,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2012","totale",3672,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2013","totale",3736,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2014","totale",3691,
"iscritti - femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2009","totale",1634,
"iscritti - femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2010","totale",1668,
"iscritti - femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2011","totale",1663,
"iscritti - femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2012","totale",1757,
"iscritti - femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2013","totale",1692,
"iscritti - femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2014","totale",1690,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2009","totale",204,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2010","totale",253,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2011","totale",227,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2012","totale",208,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2013","totale",194,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2014","totale",193,
"ripetenti - femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2009","totale",71,
"ripetenti - femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2010","totale",85,
"ripetenti - femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2011","totale",74,
"ripetenti - femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2012","totale",90,
"ripetenti - femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2013","totale",59,
"ripetenti - femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2014","totale",61,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2009","totale",269,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2010","totale",297,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2011","totale",309,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2012","totale",311,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2013","totale",332,
"stranieri - maschi e femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2014","totale",318,
"stranieri - femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2009","totale",117,
"stranieri - femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2010","totale",133,
"stranieri - femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2011","totale",150,
"stranieri - femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2012","totale",149,
"stranieri - femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2013","totale",133,
"stranieri - femmine","valori assoluti","secondaria I grado","Valle d'Aosta / Vallée d'Aoste","2014","totale",135,
"numero di scuole","valori assoluti","secondaria I grado","Liguria","2009","totale",177,
"numero di scuole","valori assoluti","secondaria I grado","Liguria","2010","totale",192,
"numero di scuole","valori assoluti","secondaria I grado","Liguria","2011","totale",191,
"numero di scuole","valori assoluti","secondaria I grado","Liguria","2012","totale",191,
"numero di scuole","valori assoluti","secondaria I grado","Liguria","2013","totale",199,
"numero di scuole","valori assoluti","secondaria I grado","Liguria","2014","totale",198,
"numero di classi","valori assoluti","secondaria I grado","Liguria","2009","totale",1771,
"numero di classi","valori assoluti","secondaria I grado","Liguria","2010","totale",1776,
"numero di classi","valori assoluti","secondaria I grado","Liguria","2011","totale",1767,
"numero di classi","valori assoluti","secondaria I grado","Liguria","2012","totale",1773,
"numero di classi","valori assoluti","secondaria I grado","Liguria","2013","totale",1775,
"numero di classi","valori assoluti","secondaria I grado","Liguria","2014","totale",1778,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Liguria","2009","totale",38628,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Liguria","2010","totale",39362,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Liguria","2011","totale",39395,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Liguria","2012","totale",39655,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Liguria","2013","totale",39459,
"iscritti - maschi e femmine","valori assoluti","secondaria I grado","Liguria","2014","totale",39213,
"iscritti - femmine","valori assoluti","secondaria I grado","Liguria","2009","totale",18315,
"iscritti - femmine","valori assoluti","secondaria I grado","Liguria","2010","totale",18784,
"iscritti - femmine","valori assoluti","secondaria I grado","Liguria","2011","totale",18794,
"iscritti - femmine","valori assoluti","secondaria I grado","Liguria","2012","totale",18888,
"iscritti - femmine","valori assoluti","secondaria I grado","Liguria","2013","totale",18949,
"iscritti - femmine","valori assoluti","secondaria I grado","Liguria","2014","totale",18942,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Liguria","2009","totale",1478,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Liguria","2010","totale",1865,
"ripetenti - maschi e femmine","valori assoluti","secondaria I grado","Liguria","2011","totale",1694,
