Tipo dato,Misura,Ordine scolastico,Territorio,Seleziona periodo,Gestione della scuola,0,Flags
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2010","pubblica",1175108,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2011","pubblica",1180440,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2012","pubblica",1189694,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2013","pubblica",1188136,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2014","pubblica",1166851,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2010","privata",505879,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2011","privata",507400,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2012","privata",505218,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2013","privata",497959,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2014","privata",480851,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2010","totale",1680987,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2011","totale",1687840,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2012","totale",1694912,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2013","totale",1686095,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2014","totale",1647702,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2010","statale",993226,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2011","statale",1001818,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2012","statale",1013118,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2013","statale",1014142,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2014","statale",1013079,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2010","non statale pubblica",181882,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2011","non statale pubblica",178622,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2012","non statale pubblica",176576,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2013","non statale pubblica",173994,
"iscritti - maschi e femmine","valori assoluti","infanzia","Italia","2014","non statale pubblica",153772,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2010","pubblica",263260,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2011","pubblica",265316,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2012","pubblica",268064,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2013","pubblica",268723,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2014","pubblica",268079,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2010","privata",164216,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2011","privata",165800,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2012","privata",167239,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2013","privata",165691,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2014","privata",162194,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2010","totale",427476,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2011","totale",431116,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2012","totale",435303,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2013","totale",434414,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2014","totale",430273,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2010","statale",208214,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2011","statale",210847,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2012","statale",213238,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2013","statale",213906,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2014","statale",214037,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2010","non statale pubblica",55046,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2011","non statale pubblica",54469,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2012","non statale pubblica",54826,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2013","non statale pubblica",54817,
"iscritti - maschi e femmine","valori assoluti","infanzia","Nord-ovest","2014","non statale pubblica",54042,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2010","pubblica",80759,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2011","pubblica",81610,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2012","pubblica",82575,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2013","pubblica",83055,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2014","pubblica",82285,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2010","privata",31977,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2011","privata",32326,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2012","privata",32538,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2013","privata",32429,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2014","privata",31722,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2010","totale",112736,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2011","totale",113936,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2012","totale",115113,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2013","totale",115484,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2014","totale",114007,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2010","statale",70923,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2011","statale",71768,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2012","statale",72864,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2013","statale",73389,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2014","statale",72968,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2010","non statale pubblica",9836,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2011","non statale pubblica",9842,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2012","non statale pubblica",9711,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2013","non statale pubblica",9666,
"iscritti - maschi e femmine","valori assoluti","infanzia","Piemonte","2014","non statale pubblica",9317,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2010","pubblica",3038,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2011","pubblica",3068,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2012","pubblica",3148,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2013","pubblica",3193,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2014","pubblica",3108,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2010","privata",523,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2011","privata",544,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2012","privata",581,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2013","privata",507,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2014","privata",503,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2010","totale",3561,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2011","totale",3612,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2012","totale",3729,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2013","totale",3700,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2014","totale",3611,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2010","non statale pubblica",3038,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2011","non statale pubblica",3068,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2012","non statale pubblica",3148,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2013","non statale pubblica",3193,
"iscritti - maschi e femmine","valori assoluti","infanzia","Valle d'Aosta / Vallée d'Aoste","2014","non statale pubblica",3108,
"iscritti - maschi e femmine","valori assoluti","infanzia","Liguria","2010","pubblica",26370,
"iscritti - maschi e femmine","valori assoluti","infanzia","Liguria","2011","pubblica",26563,
"iscritti - maschi e femmine","valori assoluti","infanzia","Liguria","2012","pubblica",26699,
"iscritti - maschi e femmine","valori assoluti","infanzia","Liguria","2013","pubblica",26614,
"iscritti - maschi e femmine","valori assoluti","infanzia","Liguria","2014","pubblica",26367,
"iscritti - maschi e femmine","valori assoluti","infanzia","Liguria","2010","privata",10821,
"iscritti - maschi e femmine","valori assoluti","infanzia","Liguria","2011","privata",10791,
"iscritti - maschi e femmine","valori assoluti","infanzia","Liguria","2012","privata",10714,
"iscritti - maschi e femmine","valori assoluti","infanzia","Liguria","2013","privata",10286,
"iscritti - maschi e femmine","valori assoluti","infanzia","Liguria","2014","privata",9905,
"iscritti - maschi e femmine","valori assoluti","infanzia","Liguria","2010","totale",37191,
"iscritti - maschi e femmine","valori assoluti","infanzia","Liguria","2011","totale",37354,
"iscritti - maschi e femmine","valori assoluti","infanzia","Liguria","2012","totale",37413,
