Tipo dato,Misura,Ordine scolastico,Territorio,Seleziona periodo,Gestione della scuola,0,Flags
"numero di scuole","valori assoluti","primaria","Italia","2010","pubblica",16337,
"numero di scuole","valori assoluti","primaria","Italia","2011","pubblica",16113,
"numero di scuole","valori assoluti","primaria","Italia","2012","pubblica",16006,
"numero di scuole","valori assoluti","primaria","Italia","2013","pubblica",15876,
"numero di scuole","valori assoluti","primaria","Italia","2014","pubblica",15482,
"numero di scuole","valori assoluti","primaria","Italia","2010","privata",1508,
"numero di scuole","valori assoluti","primaria","Italia","2011","privata",1611,
"numero di scuole","valori assoluti","primaria","Italia","2012","privata",1535,
"numero di scuole","valori assoluti","primaria","Italia","2013","privata",1537,
"numero di scuole","valori assoluti","primaria","Italia","2014","privata",1513,
"numero di scuole","valori assoluti","primaria","Italia","2010","totale",17845,
"numero di scuole","valori assoluti","primaria","Italia","2011","totale",17724,
"numero di scuole","valori assoluti","primaria","Italia","2012","totale",17541,
"numero di scuole","valori assoluti","primaria","Italia","2013","totale",17413,
"numero di scuole","valori assoluti","primaria","Italia","2014","totale",16995,
"numero di scuole","valori assoluti","primaria","Italia","2010","statale",15684,
"numero di scuole","valori assoluti","primaria","Italia","2011","statale",15567,
"numero di scuole","valori assoluti","primaria","Italia","2012","statale",15383,
"numero di scuole","valori assoluti","primaria","Italia","2013","statale",15253,
"numero di scuole","valori assoluti","primaria","Italia","2014","statale",15183,
"numero di scuole","valori assoluti","primaria","Italia","2010","non statale pubblica",653,
"numero di scuole","valori assoluti","primaria","Italia","2011","non statale pubblica",546,
"numero di scuole","valori assoluti","primaria","Italia","2012","non statale pubblica",623,
"numero di scuole","valori assoluti","primaria","Italia","2013","non statale pubblica",623,
"numero di scuole","valori assoluti","primaria","Italia","2014","non statale pubblica",299,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2010","pubblica",4065,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2011","pubblica",3948,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2012","pubblica",4005,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2013","pubblica",3987,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2014","pubblica",3972,
