Tipo dato,Misura,Ordine scolastico,Tipo di scuola superiore,Territorio,Seleziona periodo,Gestione della scuola,0,Flags
"numero di scuole","valori assoluti","secondaria II grado","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","Italia","2009","totale",474,
"numero di scuole","valori assoluti","secondaria II grado","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","Italia","2010","totale",471,
"numero di scuole","valori assoluti","secondaria II grado","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","Italia","2011","totale",472,
"numero di scuole","valori assoluti","secondaria II grado","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","Italia","2012","totale",490,
"numero di scuole","valori assoluti","secondaria II grado","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","Italia","2013","totale",497,
"numero di scuole","valori assoluti","secondaria II grado","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","Italia","2014","totale",500,
"numero di scuole","valori assoluti","secondaria II grado","istituto professionale per l'industria e l'artigianato","Italia","2009","totale",582,
"numero di scuole","valori assoluti","secondaria II grado","istituto professionale per l'industria e l'artigianato","Italia","2010","totale",578,
"numero di scuole","valori assoluti","secondaria II grado","istituto professionale per l'industria e l'artigianato","Italia","2011","totale",568,
"numero di scuole","valori assoluti","secondaria II grado","istituto professionale per l'industria e l'artigianato","Italia","2012","totale",563,
"numero di scuole","valori assoluti","secondaria II grado","istituto professionale per l'industria e l'artigianato","Italia","2013","totale",553,
"numero di scuole","valori assoluti","secondaria II grado","istituto professionale per l'industria e l'artigianato","Italia","2014","totale",553,
"numero di scuole","valori assoluti","secondaria II grado","istituto professionale per i servizi commerciali","Italia","2009","totale",409,
"numero di scuole","valori assoluti","secondaria II grado","istituto professionale per i servizi commerciali","Italia","2010","totale",410,
"numero di scuole","valori assoluti","secondaria II grado","istituto professionale per i servizi commerciali","Italia","2011","totale",409,
"numero di scuole","valori assoluti","secondaria II grado","istituto professionale per i servizi commerciali","Italia","2012","totale",405,
"numero di scuole","valori assoluti","secondaria II grado","istituto professionale per i servizi commerciali","Italia","2013","totale",402,
"numero di scuole","valori assoluti","secondaria II grado","istituto professionale per i servizi commerciali","Italia","2014","totale",395,
"numero di scuole","valori assoluti","secondaria II grado","istituto professionale per i servizi alberghieri e ristorazione","Italia","2009","totale",272,
"numero di scuole","valori assoluti","secondaria II grado","istituto professionale per i servizi alberghieri e ristorazione","Italia","2010","totale",283,
"numero di scuole","valori assoluti","secondaria II grado","istituto professionale per i servizi alberghieri e ristorazione","Italia","2011","totale",288,
"numero di scuole","valori assoluti","secondaria II grado","istituto professionale per i servizi alberghieri e ristorazione","Italia","2012","totale",294,
"numero di scuole","valori assoluti","secondaria II grado","istituto professionale per i servizi alberghieri e ristorazione","Italia","2013","totale",297,
"numero di scuole","valori assoluti","secondaria II grado","istituto professionale per i servizi alberghieri e ristorazione","Italia","2014","totale",300,
"numero di scuole","valori assoluti","secondaria II grado","altri istituti professionali","Italia","2009","totale",314,
"numero di scuole","valori assoluti","secondaria II grado","altri istituti professionali","Italia","2010","totale",311,
"numero di scuole","valori assoluti","secondaria II grado","altri istituti professionali","Italia","2011","totale",288,
"numero di scuole","valori assoluti","secondaria II grado","altri istituti professionali","Italia","2012","totale",295,
"numero di scuole","valori assoluti","secondaria II grado","altri istituti professionali","Italia","2013","totale",292,
"numero di scuole","valori assoluti","secondaria II grado","altri istituti professionali","Italia","2014","totale",298,
"numero di scuole","valori assoluti","secondaria II grado","istituto tecnico industriale","Italia","2009","totale",584,
"numero di scuole","valori assoluti","secondaria II grado","istituto tecnico industriale","Italia","2010","totale",591,
"numero di scuole","valori assoluti","secondaria II grado","istituto tecnico industriale","Italia","2011","totale",596,
"numero di scuole","valori assoluti","secondaria II grado","istituto tecnico industriale","Italia","2012","totale",649,
"numero di scuole","valori assoluti","secondaria II grado","istituto tecnico industriale","Italia","2013","totale",647,
"numero di scuole","valori assoluti","secondaria II grado","istituto tecnico industriale","Italia","2014","totale",647,
"numero di scuole","valori assoluti","secondaria II grado","istituto tecnico commerciale","Italia","2009","totale",1218,
"numero di scuole","valori assoluti","secondaria II grado","istituto tecnico commerciale","Italia","2010","totale",1218,
"numero di scuole","valori assoluti","secondaria II grado","istituto tecnico commerciale","Italia","2011","totale",1202,
"numero di scuole","valori assoluti","secondaria II grado","istituto tecnico commerciale","Italia","2012","totale",1215,
"numero di scuole","valori assoluti","secondaria II grado","istituto tecnico commerciale","Italia","2013","totale",1213,
"numero di scuole","valori assoluti","secondaria II grado","istituto tecnico commerciale","Italia","2014","totale",1190,
"numero di scuole","valori assoluti","secondaria II grado","istituto tecnico per geometri","Italia","2009","totale",244,
"numero di scuole","valori assoluti","secondaria II grado","istituto tecnico per geometri","Italia","2010","totale",246,
