Popolazione residente al 1° Gennaio 2012 per età sesso e stato civile
Regione,Età,Celibi,Coniugati,Divorziati,Vedovi,Totale Maschi,Nubili,Coniugate,Divorziate,Vedove,Totale Femmine
Piemonte,0,19164,0,0,0,19164,17736,0,0,0,17736
Piemonte,1,19207,0,0,0,19207,18114,0,0,0,18114
Piemonte,2,19685,0,0,0,19685,18789,0,0,0,18789
Piemonte,3,19976,0,0,0,19976,18785,0,0,0,18785
Piemonte,4,19775,0,0,0,19775,18889,0,0,0,18889
Piemonte,5,19701,0,0,0,19701,18558,0,0,0,18558
Piemonte,6,19439,0,0,0,19439,18346,0,0,0,18346
Piemonte,7,19400,0,0,0,19400,18286,0,0,0,18286
Piemonte,8,19438,0,0,0,19438,18442,0,0,0,18442
Piemonte,9,18815,0,0,0,18815,18212,0,0,0,18212
Piemonte,10,19017,0,0,0,19017,18011,0,0,0,18011
Piemonte,11,19643,0,0,0,19643,18572,0,0,0,18572
Piemonte,12,19256,0,0,0,19256,17907,0,0,0,17907
Piemonte,13,19154,0,0,0,19154,18047,0,0,0,18047
Piemonte,14,18840,0,0,0,18840,18053,0,0,0,18053
Piemonte,15,18743,0,0,0,18743,17550,0,0,0,17550
Piemonte,16,18612,1,0,0,18613,17521,3,0,0,17524
Piemonte,17,18693,1,0,0,18694,17715,5,0,0,17720
Piemonte,18,18809,3,0,0,18812,17773,59,0,0,17832
Piemonte,19,19361,7,2,1,19371,18076,234,1,1,18312
Piemonte,20,19538,44,14,0,19596,17928,537,3,1,18469
Piemonte,21,19811,91,9,0,19911,17892,908,13,1,18814
Piemonte,22,19442,212,8,0,19662,17342,1545,9,1,18897
Piemonte,23,19823,433,9,4,20269,17308,2198,23,0,19529
Piemonte,24,18921,800,18,3,19742,16524,3002,40,7,19573
Piemonte,25,19319,1235,22,3,20579,16110,3893,42,9,20054
Piemonte,26,19135,1864,26,2,21027,15807,5157,71,12,21047
Piemonte,27,18618,2686,22,3,21329,15102,6308,95,13,21518
Piemonte,28,18411,3812,24,6,22253,14497,7663,121,17,22298
Piemonte,29,18428,5164,51,4,23647,13793,9478,175,31,23477
Piemonte,30,17273,6441,57,7,23778,12754,10796,255,45,23850
Piemonte,31,16459,7898,93,6,24456,11950,12392,314,50,24706
Piemonte,32,16106,9316,123,14,25559,11446,13690,381,46,25563
Piemonte,33,16150,11047,186,18,27401,11314,15325,543,85,27267
Piemonte,34,15842,12489,253,12,28596,11305,17017,689,87,29098
Piemonte,35,15446,14333,334,17,30130,10627,18667,859,118,30271
Piemonte,36,15429,16128,449,24,32030,10622,20167,1090,134,32013
Piemonte,37,15083,17805,597,30,33515,10193,21693,1265,163,33314
Piemonte,38,14429,18531,704,30,33694,9410,22132,1383,196,33121
Piemonte,39,13377,20176,852,55,34460,8990,23030,1734,236,33990
Piemonte,40,12783,20885,1035,65,34768,8353,24533,1864,259,35009
Piemonte,41,11753,21624,1122,55,34554,7683,24375,2032,359,34449
Piemonte,42,11287,23118,1374,79,35858,7400,25714,2308,376,35798
Piemonte,43,10335,23590,1493,94,35512,6716,25934,2442,406,35498
Piemonte,44,9733,24090,1580,113,35516,6443,26144,2518,526,35631
Piemonte,45,9291,24599,1761,137,35788,6093,26765,2504,552,35914
Piemonte,46,8557,25037,1913,162,35669,5662,26938,2747,691,36038
Piemonte,47,7907,25842,2072,165,35986,5410,27670,2752,734,36566
Piemonte,48,6875,24699,1911,204,33689,4725,26012,2724,845,34306
Piemonte,49,6127,23948,1914,239,32228,4337,25353,2686,959,33335
Piemonte,50,5795,24200,1915,195,32105,4010,25252,2643,1070,32975
