"Codice","SESSO","ETA","occ","Regione"
1,1,15,53.916666667,"PIEMONTE"
1,2,55,19228.583333,"PIEMONTE"
1,2,49,25604.25,"PIEMONTE"
1,2,43,24696,"PIEMONTE"
1,2,37,21512.083333,"PIEMONTE"
1,1,28,16650.416667,"PIEMONTE"
1,2,31,16026.833333,"PIEMONTE"
1,2,25,10558.333333,"PIEMONTE"
1,2,19,2385.3333333,"PIEMONTE"
1,2,50,23713.416667,"PIEMONTE"
1,1,64,6412.9166667,"PIEMONTE"
1,1,58,17713.333333,"PIEMONTE"
1,1,52,26816.833333,"PIEMONTE"
1,2,32,16387.916667,"PIEMONTE"
1,1,46,30315.916667,"PIEMONTE"
1,1,40,29204.333333,"PIEMONTE"
1,1,34,21484.416667,"PIEMONTE"
1,1,65,5779.0833333,"PIEMONTE"
1,1,59,15155.666667,"PIEMONTE"
1,1,22,9010.1666667,"PIEMONTE"
1,1,16,192.33333333,"PIEMONTE"
1,2,56,18172.833333,"PIEMONTE"
1,1,41,29309.5,"PIEMONTE"
1,2,44,25895.666667,"PIEMONTE"
1,2,38,23155.916667,"PIEMONTE"
1,1,29,17050.5,"PIEMONTE"
1,1,23,10490.833333,"PIEMONTE"
1,2,26,11432.5,"PIEMONTE"
1,2,20,3820.9166667,"PIEMONTE"
1,2,51,22552.75,"PIEMONTE"
1,2,45,25266.333333,"PIEMONTE"
1,2,39,24247.166667,"PIEMONTE"
1,1,53,25194.583333,"PIEMONTE"
1,2,33,17074.75,"PIEMONTE"
1,1,47,30576.916667,"PIEMONTE"
1,2,21,5052.75,"PIEMONTE"
1,1,35,22963.25,"PIEMONTE"
1,2,15,19.916666667,"PIEMONTE"
1,1,60,13177.416667,"PIEMONTE"
1,1,54,24611.5,"PIEMONTE"
1,1,17,704.66666667,"PIEMONTE"
1,2,57,16020.166667,"PIEMONTE"
1,1,42,29858.5,"PIEMONTE"
1,1,36,24492.916667,"PIEMONTE"
1,2,16,95.916666667,"PIEMONTE"
1,1,30,18348.25,"PIEMONTE"
1,1,24,11858.166667,"PIEMONTE"
1,2,27,12410.5,"PIEMONTE"
1,2,58,13897.166667,"PIEMONTE"
1,2,52,22439.25,"PIEMONTE"
1,2,46,25505.083333,"PIEMONTE"
1,2,40,24140.583333,"PIEMONTE"
1,1,31,19478.583333,"PIEMONTE"
1,2,34,17746.666667,"PIEMONTE"
1,1,48,30663.666667,"PIEMONTE"
1,2,22,6325.1666667,"PIEMONTE"
1,2,53,21069.666667,"PIEMONTE"
1,2,47,25523.25,"PIEMONTE"
1,1,61,10843,"PIEMONTE"
1,1,55,23382.916667,"PIEMONTE"
1,1,18,1939.3333333,"PIEMONTE"
1,1,49,30398.583333,"PIEMONTE"
1,1,43,29552,"PIEMONTE"
1,1,37,25316.666667,"PIEMONTE"
1,2,17,363.58333333,"PIEMONTE"
1,1,62,7982.25,"PIEMONTE"
1,1,25,13220.916667,"PIEMONTE"
1,2,28,13696.333333,"PIEMONTE"
1,2,59,11758.75,"PIEMONTE"
1,1,44,30806.5,"PIEMONTE"
1,1,38,27375.833333,"PIEMONTE"
1,2,41,24600.583333,"PIEMONTE"
1,1,32,19928.833333,"PIEMONTE"
1,2,35,19200.666667,"PIEMONTE"
1,2,29,14131.25,"PIEMONTE"
1,2,23,7761.4166667,"PIEMONTE"
1,2,54,20102.916667,"PIEMONTE"
1,2,48,25548.25,"PIEMONTE"
1,2,42,25342.083333,"PIEMONTE"
1,1,56,22516.5,"PIEMONTE"
1,1,19,3942.75,"PIEMONTE"
1,1,50,28489.583333,"PIEMONTE"
1,2,24,8967.75,"PIEMONTE"
1,2,63,3219.5,"PIEMONTE"
1,2,18,1029.8333333,"PIEMONTE"
1,1,63,7060.6666667,"PIEMONTE"
1,1,26,14073.5,"PIEMONTE"
1,1,20,5924.5833333,"PIEMONTE"
1,2,60,9580.1666667,"PIEMONTE"
1,1,45,29991.25,"PIEMONTE"
1,1,39,28689.916667,"PIEMONTE"
1,2,61,7603.5833333,"PIEMONTE"
1,1,33,20232.416667,"PIEMONTE"
